12800 4353 33283 24836 16389 53766 45320 19473 11026 39956 31509 23062 51993 43546 17699 9252 38182 29735 21288 50219 41772 3889 24372 15925 44855 36408 27961 48445 2115 22598 14151 43081 34634 55118 46671 8788 341 29271 20824 49754 41307 53344 7014 27497 19050 47980 39534 13687 5240 46713 25723 54653 46207 20360 11913 3466 32396 23949 52880 44433 18586 10139 39069 30622 51106 4775 25259 16812 8365 45742 37295 28848 49332 3002 23485 15038 43968 35521 9675 1228 30158 21711 13264 50641 42194 33747 54231 7901 28384 19937 48867 40420 14574 6127 35057 26610 18163 55540 47093 38647 ,16389 3847 36873 24330 15883 44813 36367 2579 10520 2073 22556 14109 43040 805 8746 29229 20782 49713 41266 7478 15419 6972 27455 19008 47939 39492 5704 26188 13645 34128 25681 54612 46165 12377 32861 20318 11871 40801 32354 23908 52838 44391 10603 31087 18544 51570 39027 51064 17276 4734 37760 25217 16770 8323 45700 37254 28807 49290 15502 2960 35986 23443 43927 9633 1186 42659 30116 21669 50600 42153 54189 20401 7859 40885 28342 48826 6591 27074 14532 6085 47558 35015 26568 55499 47052 12758 45784 33241 53725 11490 31974 19431 10984 52457 39914 31467 51951 17657 50683 38140 ,
50177 41730 7436 8973 27920 29456 48403 49940 5662 15646 7199 34593 36129 26146 55076 46629 299 12335 13872 32819 34355 53302 54839 62 20545 10562 12098 41028 31045 51528 5198 17235 18771 37718 39254 3424 4961 25444 15461 16997 45927 35944 37480 10097 1650 30581 22134 42617 44153 8323 9860 1413 30343 21896 50826 40843 42380 14996 6549 35480 27033 47516 49053 13222 14759 6312 33706 35242 26795 47279 949 19895 11448 40379 31932 52415 18121 19658 38605 40141 31694 52178 4311 5848 24794 16348 45278 36831 2537 4074 23021 24557 43504 45040 9210 763 10747 29694 31230 21247 ,14336 5889 43267 34820 26373 13830 55303 46856 34314 54797 526 21009 12562 41493 33046 53529 27682 19235 48166 39719 31272 51755 39213 5425 25908 17461 4919 46392 37945 3651 32581 24134 53065 44618 10324 1877 30807 22361 9818 51291 42844 8550 29034 49517 3187 23670 15223 6776 35707 27260 14717 47743 35200 1413 13449 33933 54416 8086 28569 20122 11675 40606 32159 19616 52642 40100 18348 38832 12985 4538 33468 25021 16575 53952 4032 45505 37058 24515 44999 11211 2764 23248 43731 17884 9437 990 38367 29921 21474 50404 41957 29414 49898 16110 7663 36594 28147 48630 2300 22783 ,
51713 5383 34314 25867 17420 46350 20 20503 12056 3609 40987 32540 24093 53023 44576 18729 10282 1835 30766 22319 51249 25402 16955 45886 37439 28992 49475 3145 23628 15181 6735 44112 35665 27218 47701 1371 30301 21854 13408 50785 42338 54374 8044 28527 20081 11634 49011 40564 32117 52600 6270 26754 47237 38790 907 21390 12943 4496 33427 24980 16533 53910 45463 37016 11169 31653 52136 5806 26289 17842 9395 38326 29879 21432 50362 41915 16068 36552 10705 2258 31188 22741 14295 51672 43225 34778 26331 55261 46814 8931 484 20968 41451 15604 7157 36087 27641 19194 48124 39677 ,12544 49921 41474 33027 53511 7181 37903 27664 48147 39700 13854 5407 34337 25890 17443 54820 46373 37927 12080 42802 32563 24116 53046 44600 8508 18753 10306 1859 39236 30789 22342 51273 42826 16979 37462 13408 3169 33891 23652 15205 44135 35688 27241 47725 1395 21878 42361 18307 8068 28551 20104 49034 40587 52624 6294 26777 47260 2722 23206 12967 4520 43689 33450 25003 53933 45487 19640 11193 2746 31676 23229 52160 7622 28105 17866 9419 48588 38349 29902 50386 4055 24539 16092 7645 36575 28128 48612 12521 2282 33004 22765 14318 53487 43248 34801 55285 8955 508 29438 20991 ,
1794 22277 12038 32521 53005 19217 10770 31254 18711 10264 51737 39194 30747 51231 6693 27176 16937 47660 37420 3633 24116 15669 3127 36153 23610 15163 44093 35647 32075 21836 52559 42320 8532 29015 20568 8026 49499 41052 28509 20062 48993 40546 6758 16491 14699 36974 47219 13431 33914 12925 54398 45951 33408 24961 53892 45445 11657 32141 19598 41873 40081 31634 52118 18330 38814 17824 38307 50344 16556 4014 37040 24497 44980 46773 2240 43713 22723 43207 55243 972 21455 8913 466 41939 29396 20949 49880 17378 7139 27622 48106 5871 26354 13812 5365 46838 34295 25848 54779 46332 ,3591 5128 24074 15628 44558 36111 1817 3354 22301 23837 42784 44320 8490 43 10027 28974 30510 20527 49457 41010 6716 8253 27200 28736 47683 49220 1353 13389 4942 14926 33873 35409 25426 54356 45909 11615 13152 32099 33635 52582 54119 6252 26735 18288 19825 9842 38772 40308 30325 50808 4478 16515 18051 36998 38534 11151 2704 31634 23188 24724 14741 43671 45207 35224 9377 930 29861 21414 22950 41897 43433 16050 7603 36534 28087 29623 48570 50106 40123 14276 5829 34760 26313 46796 48333 12502 14039 41433 32986 53469 45022 55006 19175 10728 39659 31212 51695 17401 18938 37885 ,
22528 51458 43011 17164 8717 270 37647 29201 20754 49684 41237 15390 6943 35874 27427 47910 1580 22063 13616 5169 42547 34100 25653 54583 46136 20289 11842 40773 32326 52809 6479 26962 18515 47446 38999 30552 51035 4705 25188 16741 45672 37225 11378 2931 31861 23414 52345 43898 35451 9604 1157 30087 21641 50571 42124 4241 24724 16277 7830 36760 28314 48797 2467 14503 6056 34987 26540 55470 9140 693 21176 12729 41660 33213 53696 7366 27849 19402 10955 39886 31439 51922 5592 34522 26075 17628 46559 38112 12265 3818 32748 24301 15855 53232 44785 36338 10491 2044 39421 30974 ,9985 1538 30468 22021 13575 50952 42505 34058 54541 8211 28694 20248 49178 40731 14884 6437 35367 26921 18474 47404 38957 13110 4663 33594 25147 54077 45630 19783 11336 2889 40267 31820 23373 52303 43856 18009 9562 38493 30046 50529 16741 4199 24682 16235 45166 36719 28272 48755 2425 22908 14462 43392 34945 26498 55428 9098 651 29581 21135 50065 41618 33171 53654 7324 27808 19361 48291 39844 51880 13997 5550 47023 34481 26034 54964 46517 187 12223 3776 32707 24260 53190 44743 18896 10449 39380 30933 51416 5086 25569 17122 8675 37606 29159 49642 3312 23795 15348 44279 35832 ,
47362 25611 13068 46094 33552 54035 11801 32284 19741 52767 11295 40225 31778 52261 17968 50993 38451 16700 4157 37183 24641 16194 45124 36677 2383 22867 43350 1115 21599 9056 609 42082 29540 21093 50023 41576 7788 15729 7282 27766 19319 48249 6015 26498 13955 46981 34439 25992 54922 46475 12688 145 20628 12182 3735 32665 24218 53148 44701 10914 31397 18855 39338 30891 51374 17587 5044 38070 25528 17081 46011 37564 49600 15813 3270 36296 23754 44237 2002 22486 9943 1496 42969 30427 21980 50910 42463 229 20712 8169 41195 28653 49136 6902 27385 14842 6395 47868 35326 26879 ,18432 38915 4622 25105 16658 4115 45588 37141 24599 45082 2848 23331 10788 43814 9521 30004 21557 50487 9015 42040 29498 49981 7747 28230 15688 48713 36171 14420 5973 34903 26456 55386 13914 46940 34397 54880 12646 103 33129 20587 53613 41070 10872 39802 31355 18813 51839 39296 5509 17545 5002 38028 25486 17039 45969 3735 15771 36254 23712 44195 10408 1961 22444 9902 42927 1455 30385 21938 50868 42421 8634 29117 20670 41154 28611 49094 15307 6860 35790 27343 14801 47827 35284 26837 47320 13533 34016 54500 46053 53993 20206 11759 40689 32242 19700 11253 52726 40183 31736 52220 ,
17926 9479 1032 38409 29962 21515 50446 41999 16152 7705 36635 28188 48672 2342 22825 14378 18218 5931 43308 34861 26414 55345 46898 568 21051 12604 41534 33087 53571 7241 2634 27724 19277 23117 10830 48207 39760 43600 31314 51797 5467 25950 17503 46433 37987 12140 3693 7533 32623 24176 28016 53106 44660 48500 36213 10366 1919 30849 22402 51333 42886 8592 12432 37522 29075 32915 49559 53399 41112 3229 15265 6818 35748 27301 47785 13491 33974 37814 54458 8128 20164 11717 40647 32201 52684 6354 18390 38874 42714 13027 4580 33510 25063 16616 45547 37100 11253 2806 23289 43773 ,13319 4872 33802 25355 54286 45839 37392 11545 3098 32028 23581 15135 52512 44065 35618 9771 38701 30254 50738 42291 4408 16444 7997 36927 28481 20034 48964 40517 14670 35154 55637 9307 860 21343 12896 41827 33380 24933 53863 45416 19569 40053 14206 5759 34689 26242 17795 9349 46726 38279 29832 50315 3985 24468 44952 19105 10658 2211 39588 31141 22695 51625 43178 34731 55214 17331 8884 437 37814 29368 49851 3521 24004 15557 7110 44487 36041 27594 48077 1747 22230 13783 5336 34267 54750 8420 28903 20456 12009 49387 40940 32493 52976 6646 27129 18682 10235 47613 39166 30719 ,
18176 9729 51202 38660 30213 50696 16908 4366 24849 16402 7955 36886 28439 2592 23075 43559 35112 55595 1324 21808 9265 818 29748 21301 12855 41785 33338 53821 7491 27974 19528 48458 40011 6223 26707 14164 5717 47190 34647 26201 17754 55131 46684 38237 4449 12390 32874 53357 11122 31606 19063 10616 52089 2169 39547 31100 22653 51583 43136 29832 17289 37773 49809 16022 3479 36505 23962 15515 7069 44446 35999 27552 48035 1705 22188 42672 20921 8378 41404 28861 20415 49345 40898 32451 52934 6604 27088 47571 25820 13277 4830 46303 33761 25314 54244 45797 11503 3056 31987 52470 ,55553 1282 21766 9223 776 42249 29707 50190 19992 7449 48922 40475 27933 48416 14628 6182 26665 14122 5675 47148 34606 26159 55089 24891 12348 45374 32832 53315 11081 31564 19021 52047 10575 39505 31058 51541 29790 17248 50273 37731 3943 24427 15980 3437 44910 36463 23921 15474 44404 35957 55173 42630 8842 396 29326 20879 8336 49809 41362 28820 20373 49303 40856 27046 47529 13742 5295 34225 25778 13235 54708 46261 4789 33719 25272 54202 45755 11968 19908 18641 10194 39124 30677 18135 51160 38618 30171 50654 16867 4324 37350 24808 45291 23540 15093 2550 44023 35576 23034 43517 ,
47107 34564 55047 21260 12813 41743 33296 53780 45333 53273 19486 11039 39969 31522 52006 17712 46642 38195 50232 3902 24385 15938 3395 44868 36421 23879 2128 22611 10068 43094 8801 354 29284 20837 49767 8295 41320 28778 49261 7027 27510 14968 47993 1663 22147 5253 34183 25736 54666 13194 46220 33677 54160 11926 32409 19867 52893 40350 6562 27046 18599 10152 39082 30635 18093 51119 38576 16825 37308 24766 45249 11462 3015 31945 23498 15051 52428 43981 2509 35534 22992 43475 9688 1241 21724 42207 50148 16361 7914 36844 28397 19950 48880 40434 27891 48374 14587 6140 35070 26623 ,14081 5634 34564 26117 17670 46600 38154 12307 3860 32790 24343 15896 44827 36380 18980 10533 2086 39463 31016 22569 51500 43053 17206 8759 312 37689 29242 20795 49726 41279 15432 6985 44362 35915 27468 47952 1622 22105 13658 5211 42588 34141 25694 54625 46178 20331 11884 40814 32367 52851 6521 27004 18557 10110 47487 39040 30594 51077 4747 25230 16783 45713 37267 11420 2973 31903 23456 15009 52386 43940 35493 9646 30129 21682 50613 42166 4282 16319 7872 36802 28355 48839 40392 14545 6098 35028 55512 47065 9182 735 29665 21218 12771 41701 33254 53738 7408 19444 10997 39927 ,
50944 42497 16650 8203 37133 28687 49170 2840 14876 6429 35360 26913 1066 21549 13102 42033 33586 54069 7739 28222 19775 11328 40259 31812 52295 5965 26448 18001 46932 38485 12638 4191 33121 24674 16227 53605 45158 36711 10864 2417 31347 22900 51831 43384 17537 9090 643 38020 29574 21127 50057 41610 16783 15763 7316 36247 27800 48283 1953 22436 13989 5542 42920 34473 26026 54956 46509 1199 179 20662 12215 41146 32699 53182 6852 27335 18888 47819 39372 30925 51408 26581 5078 25561 17114 46045 37598 11751 3304 32234 23787 52718 44271 35824 31481 9977 1530 51964 30460 22014 ,1024 34050 21507 54533 41991 33544 54027 20240 7697 40723 28180 19734 48664 40217 52253 18466 5923 47396 38949 26407 46890 4655 25139 12596 4149 45622 33080 24633 53563 45116 2881 23365 10822 43848 31306 51789 9554 30038 17495 9048 50521 37979 29532 50015 28264 15721 48747 36205 14454 1911 34937 22394 55420 13948 42878 34431 54914 137 20621 53646 41104 19353 6810 39836 27294 18847 47777 39330 5036 25520 46003 3768 24252 11709 3262 44735 32193 23746 52676 44229 10441 18382 9935 30419 50902 17114 8668 29151 16608 49634 37092 28645 49128 15341 2798 23281 14834 35318 26871 13567 ,
46848 13061 4614 25097 12554 45580 4108 33038 24591 53521 45074 11287 31770 23323 43806 31264 51747 17960 9513 38443 29996 17454 50479 37937 49973 16186 36669 48706 2375 22859 14412 1869 43342 34895 22353 55379 42836 602 21085 41568 7275 27758 19311 6768 48241 39794 27252 47735 5501 25984 13441 46467 12174 3727 32657 24210 53140 11668 44693 32151 52634 10400 30883 18341 51366 38824 17073 8626 37556 29109 16567 49593 37050 15299 2756 35782 23240 43723 1488 21972 13525 982 42455 34008 21466 54492 41949 8161 20198 7655 40681 28139 19692 48622 6388 26871 18424 47354 38907 26365 ,38401 29954 17412 50438 4108 16144 36627 10781 14370 43300 1828 34853 22311 55337 42794 9007 560 29490 21043 8501 41526 15680 36163 19269 6727 27210 47693 13906 5459 34389 25942 54872 46426 95 20579 12132 3685 41062 24168 11626 44652 32109 52592 18805 10358 39288 30841 51325 38782 4995 25478 17031 8584 45961 29067 16525 49551 37008 3221 23704 15257 44187 35740 9894 1447 30377 21930 13483 50860 42413 33967 21424 54450 41907 8120 28603 20156 49086 40640 14793 6346 35276 26829 47313 38866 46806 4572 33502 25055 53986 45539 11245 40175 31728 52212 43765 5881 51706 17918 9471 ,
8965 37895 29448 21001 49932 41485 3601 15638 7191 36121 27674 19227 48158 39711 13864 34347 54831 46384 54 20537 12090 3643 41020 32573 24127 53057 44610 18763 39246 30800 51283 13400 4953 33883 25436 16989 8542 45919 37473 29026 49509 3179 23662 44146 18299 9852 1405 38782 30335 21888 50819 42372 33925 54408 8078 28561 49045 2715 23198 14751 6304 43681 35234 26787 47271 941 12977 4530 33460 53944 7614 28097 19650 11203 48580 40133 31687 52170 5840 26323 17876 9429 38360 29913 12513 4066 32996 24549 16102 53479 45033 36586 10739 2292 31222 22775 14328 43259 34812 55295 ,50688 518 4358 24841 45325 11031 2584 31514 23067 51998 43551 35104 55587 5417 9257 810 25900 29740 50224 15930 7483 36413 27967 48450 2120 10316 14156 5709 30800 34640 55123 346 20829 12382 41313 32866 53349 7019 27502 15215 19055 10608 35699 39539 31092 5245 25728 17281 46212 37765 11918 3471 32401 20114 23954 15508 40598 44438 35991 10144 1697 30627 22181 51111 42664 16817 8370 37300 25014 28854 20407 45497 49337 40890 15043 6596 35527 27080 47563 1233 21716 13269 4822 42200 33753 25306 50396 54236 45789 19942 40426 31979 52462 6132 26615 18168 9721 47099 38652 30205 ,
